Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount To Date,Staking Reward Rate
Line 1,2019-4-23,25.000000,0.054795,0.054795,10.00%
Line 2,2019-5-23,25.054795,0.205930,0.260724,10.00%
Line 3,2019-6-23,25.260724,0.214543,0.475267,10.00%
Line 4,2019-7-23,25.475267,0.209386,0.684653,10.00%
Line 5,2019-8-23,25.684653,0.218144,0.902797,10.00%
Line 6,2019-9-23,25.902797,0.219996,1.122793,10.00%
Line 7,2019-10-23,26.122793,0.214708,1.337501,10.00%
Line 8,2019-11-23,26.337501,0.223688,1.561189,10.00%
Line 9,2019-12-23,26.561189,0.218311,1.779501,10.00%
Line 10,2020-1-23,26.779501,0.227442,2.006943,10.00%
Line 11,2020-2-23,27.006943,0.229374,2.236317,10.00%
Line 12,2020-3-23,27.236317,0.216398,2.452715,10.00%
Line 13,2020-4-23,27.452715,0.233160,2.685875,10.00%
Line 14,2020-5-23,27.685875,0.227555,2.913430,10.00%
Line 15,2020-6-23,27.913430,0.237073,3.150503,10.00%
Line 16,2020-7-23,28.150503,0.231374,3.381877,10.00%
Line 17,2020-8-23,28.381877,0.241052,3.622929,10.00%
Line 18,2020-9-23,28.622929,0.243099,3.866028,10.00%
Line 19,2020-10-23,28.866028,0.237255,4.103283,10.00%
Line 20,2020-11-23,29.103283,0.247179,4.350461,10.00%
Line 21,2020-12-23,29.350461,0.241237,4.591698,10.00%
Line 22,2021-1-23,29.591698,0.251327,4.843025,10.00%
Line 23,2021-2-23,29.843025,0.253461,5.096486,10.00%
Line 24,2021-3-23,30.096486,0.230877,5.327363,10.00%
Line 25,2021-4-15,30.327363,0.191104,5.518467,10.00%
